datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Total_booking
09-12-12,Fall,0,1, Clear + Few clouds,27.06,31.06,44,16.9979,977
09-11-12,Fall,0,1, Clear + Few clouds,28.7,31.82,28,0,970
09-10-12,Fall,0,1, Clear + Few clouds,25.42,31.06,35,19.9995,968
10-10-12,Winter,0,1, Clear + Few clouds,23.78,27.275,43,15.0013,948
10/16/2012 17:00,Winter,0,1, Clear + Few clouds,21.32,25,39,12.998,943
09-12-12,Fall,0,1, Clear + Few clouds,28.7,31.82,41,19.9995,925
10-03-12,Winter,0,1, Clear + Few clouds,28.7,32.575,65,0,917
10-05-12,Winter,0,1, Clear + Few clouds,28.7,31.82,42,11.0014,900
8/16/2012 17:00,Fall,0,1, Clear + Few clouds,33.62,36.365,34,12.998,897
9/14/2012 17:00,Fall,0,1, Clear + Few clouds,29.52,33.335,51,12.998,894
9/19/2012 18:00,Fall,0,1, Clear + Few clouds,23.78,27.275,40,19.0012,892
08-01-12,Fall,0,1," Light Snow, Light Rain",31.16,35.605,62,15.0013,891
10/18/2012 17:00,Winter,0,1, Mist + Cloudy ,23.78,27.275,64,22.0028,890
10-04-12,Winter,0,1, Clear + Few clouds,27.06,31.06,57,7.0015,887
9/19/2012 17:00,Fall,0,1, Clear + Few clouds,24.6,31.06,38,15.0013,886
10/17/2012 18:00,Winter,0,1, Clear + Few clouds,21.32,25,59,11.0014,884
9/13/2012 17:00,Fall,0,1, Clear + Few clouds,29.52,32.575,42,12.998,884
09-11-12,Fall,0,1, Clear + Few clouds,26.24,31.06,36,11.0014,877
5/16/2012 17:00,Summer,0,1, Clear + Few clouds,29.52,33.335,51,12.998,873
07-10-12,Fall,0,1, Clear + Few clouds,31.98,35.605,49,12.998,872
07-09-12,Fall,0,1, Clear + Few clouds,31.16,34.09,48,8.9981,872
09-10-12,Fall,0,1, Clear + Few clouds,27.06,31.06,34,22.0028,871
06-07-12,Summer,0,1, Clear + Few clouds,29.52,32.575,34,16.9979,869
08-07-12,Fall,0,1, Mist + Cloudy ,31.98,37.12,62,8.9981,868
6/14/2012 17:00,Summer,0,1, Clear + Few clouds,29.52,33.335,48,15.0013,867
08-02-12,Fall,0,1, Clear + Few clouds,33.62,38.635,52,16.9979,865
09-05-12,Fall,0,1, Clear + Few clouds,31.16,36.365,66,16.9979,863
08-08-12,Fall,0,1, Mist + Cloudy ,31.98,36.365,55,11.0014,862
08-06-12,Fall,0,1, Clear + Few clouds,33.62,37.12,41,0,858
08-08-12,Fall,0,1, Mist + Cloudy ,32.8,37.88,55,19.0012,858
6/13/2012 17:00,Summer,0,1, Clear + Few clouds,29.52,32.575,32,32.9975,857
09-04-12,Fall,0,1, Clear + Few clouds,31.16,36.365,70,23.9994,856
10-01-12,Winter,0,1," Light Snow, Light Rain",22.96,26.515,60,16.9979,856
8/14/2012 18:00,Fall,0,1, Clear + Few clouds,31.16,35.605,62,19.0012,854
5/17/2012 17:00,Summer,0,1, Clear + Few clouds,27.06,31.06,31,8.9981,852
8/15/2012 17:00,Fall,0,1, Clear + Few clouds,30.34,34.09,55,19.0012,851
06-05-12,Summer,0,1, Clear + Few clouds,24.6,31.06,43,0,850
8/15/2012 18:00,Fall,0,1, Clear + Few clouds,30.34,33.335,51,15.0013,848
10-10-12,Winter,0,1, Mist + Cloudy ,22.96,26.515,49,11.0014,844
08-06-12,Fall,0,1, Clear + Few clouds,33.62,37.12,41,8.9981,843
9/17/2012 17:00,Fall,0,1, Mist + Cloudy ,26.24,30.305,65,15.0013,842
09-05-12,Fall,0,1, Clear + Few clouds,31.16,37.12,75,12.998,839
09-04-12,Fall,0,1, Clear + Few clouds,31.16,37.12,75,15.0013,839
10-12-12,Winter,0,1, Clear + Few clouds,18.86,22.725,38,26.0027,837
08-01-12,Fall,0,1, Clear + Few clouds,32.8,37.12,49,11.0014,837
10/16/2012 8:00,Winter,0,1, Clear + Few clouds,18.04,21.97,62,0,835
7/13/2012 17:00,Fall,0,1, Mist + Cloudy ,32.8,35.605,36,11.0014,835
09-06-12,Fall,0,1, Clear + Few clouds,29.52,34.09,70,16.9979,835
10/18/2012 8:00,Winter,0,1, Clear + Few clouds,18.86,22.725,82,16.9979,834
06-04-12,Summer,0,1, Clear + Few clouds,26.24,31.06,38,30.0026,834
8/16/2012 18:00,Fall,0,1, Clear + Few clouds,32.8,35.605,36,0,832
06-11-12,Summer,0,1, Mist + Cloudy ,32.8,36.365,43,19.9995,831
07-11-12,Fall,0,1, Clear + Few clouds,32.8,34.85,31,15.0013,830
10-11-12,Winter,0,1, Clear + Few clouds,20.5,24.24,39,19.0012,827
07-12-12,Fall,0,1, Clear + Few clouds,31.16,34.09,45,8.9981,825
6/14/2012 18:00,Summer,0,1, Clear + Few clouds,30.34,33.335,42,12.998,823
04-05-12,Summer,0,1, Clear + Few clouds,20.5,24.24,31,11.0014,822
06-04-12,Summer,0,1, Clear + Few clouds,26.24,31.06,38,26.0027,822
07-10-12,Fall,0,1," Light Snow, Light Rain",28.7,33.335,74,15.0013,819
8/13/2012 17:00,Fall,0,1, Clear + Few clouds,32.8,35.605,36,11.0014,818
10/17/2012 8:00,Winter,0,1, Mist + Cloudy ,16.4,20.455,76,0,817
08-07-12,Fall,0,1, Mist + Cloudy ,31.16,35.605,62,11.0014,814
