,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Total_booking
6004,08-01-2011 11:00,Spring,0,0, Mist + Cloudy ,8.2,9.09,69,26.0027,1
4886,10-01-2011 00:00,Spring,0,1, Clear + Few clouds,4.92,6.06,50,19.0012,1
5354,10-01-2011 06:00,Spring,0,1, Clear + Few clouds,4.92,6.06,50,19.0012,1
1692,09-02-2011 11:00,Spring,0,1, Mist + Cloudy ,5.74,7.575,43,11.0014,1
7532,12-02-2011 13:00,Spring,0,0, Clear + Few clouds,12.3,13.635,39,27.9993,1
7512,14-02-2011 23:00,Spring,0,1, Clear + Few clouds,13.12,14.395,49,32.9975,1
3597,02-03-2011 20:00,Spring,0,1, Clear + Few clouds,14.76,16.665,29,27.9993,1
4380,08-04-2011 13:00,Summer,0,1," Light Snow, Light Rain",14.76,16.665,76,19.0012,1
3940,11-04-2011 23:00,Summer,0,1," Light Snow, Light Rain",23.78,27.275,60,0,1
1661,13-04-2011 02:00,Summer,0,1," Light Snow, Light Rain",16.4,20.455,100,19.9995,1
3343,10-05-2011 18:00,Summer,0,1, Clear + Few clouds,26.24,31.06,29,8.9981,1
1142,07-06-2011 19:00,Summer,0,1, Clear + Few clouds,31.16,34.09,48,16.9979,1
7928,07-06-2011 21:00,Summer,0,1, Clear + Few clouds,29.52,34.09,70,8.9981,1
315,09-06-2011 17:00,Summer,0,1, Clear + Few clouds,36.9,40.91,37,16.9979,1
2821,19-06-2011 22:00,Summer,0,0, Clear + Few clouds,27.06,30.305,78,15.0013,1
4331,08-08-2011 07:00,Fall,0,1, Clear + Few clouds,29.52,34.09,62,19.9995,1
3118,10-08-2011 03:00,Fall,0,1, Clear + Few clouds,28.7,32.575,58,11.0014,1
6762,17-09-2011 03:00,Fall,0,0, Clear + Few clouds,18.86,22.725,72,8.9981,1
3746,07-10-2011 06:00,Winter,0,1, Clear + Few clouds,17.22,21.21,88,0,1
4494,14-10-2011 14:00,Winter,0,1, Clear + Few clouds,25.42,31.06,43,23.9994,1
7305,15-10-2011 22:00,Winter,0,0, Clear + Few clouds,20.5,24.24,36,8.9981,1
3650,16-10-2011 15:00,Winter,0,0, Clear + Few clouds,25.42,31.06,35,26.0027,1
7853,04-11-2011 22:00,Winter,0,1, Clear + Few clouds,13.94,15.15,46,22.0028,1
5014,09-11-2011 09:00,Winter,0,1, Clear + Few clouds,13.94,18.18,93,0,1
1639,09-11-2011 19:00,Winter,0,1, Clear + Few clouds,18.04,21.97,72,7.0015,1
8704,10-11-2011 01:00,Winter,0,1, Mist + Cloudy ,16.4,20.455,87,0,1
